handle,x_profile_url,bio_signal_excerpt,identifier_type,identifier_value,relevance_tag,confidence,source_url
BTCsessions,https://x.com/BTCsessions,"Nostr: btcsessions@getalby.com",nip05,btcsessions@getalby.com,bitcoin+nostr,high,https://twstalker.com/NostrDirectory
MaxAWebster,https://x.com/MaxAWebster,"#nostr: npub18lzls4f6h46n43revlzvg6x06z8geww7uudhncfdttdtypduqnfsagugm3",npub,npub18lzls4f6h46n43revlzvg6x06z8geww7uudhncfdttdtypduqnfsagugm3,bitcoin+nostr,high,https://twstalker.com/NostrDirectory
ArturBrugeman,https://x.com/ArturBrugeman,"#bitcoin #nostr ... npub1xdtducdnjerex88gkg2qk2atsdlqsyxqaag4h05jmcpyspqt30wscmntxy",npub,npub1xdtducdnjerex88gkg2qk2atsdlqsyxqaag4h05jmcpyspqt30wscmntxy,bitcoin+nostr,high,https://twstalker.com/NostrDirectory
KiPSOFT,https://x.com/KiPSOFT,"npub1r25l7p70wll4wgvpf9u9xw68gs78ev6gajux95y37w9yc09hjw6sxldkdv",npub,npub1r25l7p70wll4wgvpf9u9xw68gs78ev6gajux95y37w9yc09hjw6sxldkdv,nostr,high,https://twstalker.com/NostrDirectory
vishalxl,https://x.com/vishalxl,"#nostr in hex 3235036bd0957dfb27ccda02d452d7c763be40c91a1ac082ba6983b25238388c",hex,3235036bd0957dfb27ccda02d452d7c763be40c91a1ac082ba6983b25238388c,nostr,medium,https://twstalker.com/NostrDirectory
melvincarvalho,https://x.com/melvincarvalho,"did:nostr:de7ecd1e2976a6adb2ffa5f4db81a7d812c8bb6698aa00dcf1e76adb55efd645",did_nostr,de7ecd1e2976a6adb2ffa5f4db81a7d812c8bb6698aa00dcf1e76adb55efd645,nostr,medium,https://twstalker.com/NostrDirectory
NostrMagazine,https://x.com/nostrmagazine,"... npub1l48p6962acf2dy2d2kf40y72jlpfh3gtkjp79jmyf6fawhhgarcqpk3vsf",npub,npub1l48p6962acf2dy2d2kf40y72jlpfh3gtkjp79jmyf6fawhhgarcqpk3vsf,nostr,high,https://mobile.twstalker.com/hashtag/%23nostr
GMONEYPEPE,https://x.com/GMONEYPEPE,"Bitcoin ... NOSTR #npub1p0azx5nzq2da6vjlkf5rveuc2r0zj3jhhrz6kvhlm3sd7u055s4sw3mfvl",npub,npub1p0azx5nzq2da6vjlkf5rveuc2r0zj3jhhrz6kvhlm3sd7u055s4sw3mfvl,bitcoin+nostr,high,https://w.twstalker.com/hashtag/%23nostr
M_affirmed,https://x.com/M_affirmed,"#Bitcoin ... Nostr: #npub1jp54xt8x4pezxdnmlvzfkkppver2ss263z65v5uadla29m4jr2dqj7xcra",npub,npub1jp54xt8x4pezxdnmlvzfkkppver2ss263z65v5uadla29m4jr2dqj7xcra,bitcoin+nostr,high,https://mobile.twstalker.com/hashtag/%23nostr
Denny_nostr,https://x.com/Denny_nostr,"... on Nostr Text us: npub1gt832fcz56f9uauj7u7l5525sz9kkw8nq42z4v6mfv7shmfyavzqng3uq8",npub,npub1gt832fcz56f9uauj7u7l5525sz9kkw8nq42z4v6mfv7shmfyavzqng3uq8,nostr,high,https://mobile.twstalker.com/hashtag/%23nostr
